#group, brand, product, description
konsoll; Microsoft; Xbox; Orginal Xbox
event; Lerret; -; Hvit lerret x tommmer
event; InFocus; Prosjektor; Grå gamle, maksoppløsning 1024x768
event; InFocus; Prosjektor; Grå gamle, maksoppløsning 1024x768
pc; Dell; Latitude D531; -
pc; Dell; Latitude D531; -
pc; Dell; Latitude D531; -
pc; Dell; Latitude D531; -
pc; Dell; Latitude D531; -
skjerm; LG; div; Grå 17 tommer
skjerm; Acer; div; Grå 17 tommer
skjerm; Benq; div; Grå 19 tommer
skjerm; HP; div; Grå 19 tommer
skjerm; Tandberg Display; div; 15 tommer Beige
utstyr; KeyTronic; Tastatur; PS2 tastatur
konsoll; Sony; PlayStation 2; Unchipped
konsoll; Sony; PlayStation 1; Unchipped
nettverk; Allied Telesyn; Fiberconverter; gigabit fiberconverter
utstyr; D-link; KVM-switch; 4 port
kabler; USB-forlenger; 20m; -
kabler; USB-forlenger; 20m; -
kabler; USB-forlenger; 20m; -
nettverk; Jotun; switchestativ; porno
nettverk; Jotun; switchestativ; porno
nettverk; Jotun; switchestativ; porno
event; Soundtracz; Miksebord; otz otz
strøm; Skjøtekabel; 5m; x6
strøm; Skjøtekabel; 10m; x13
strøm; Skjøtekabel; 15m; 
strøm; Skjøtekabel; 20m; x5
strøm; Skjøtebrett; 1m; Elkjøp
strøm; Skjøtebrett; 3m; Biltema
strøm; Skjøtebrett-stack; 3-er stack; 3 brett med 6 uttak
switch; 3Com; SuperStack II; 24p 100mbit
switch; Cisco; 3548XL; 48p 100mbit
switch; Cisco; 3548XL; 48p 100mbit
switch; Cisco; 3548XL; 48p 100mbit
switch; Cisco; 3548XL; 48p 100mbit
switch; Cisco; 2950; 24p 100mbit
switch; Cisco; 2950; 48p 100mbit
switch; Cisco; Catalyst Express 500; 24p 100mbit
switch; D-Link; DGS-3627; 24p 1000mbit
server; HP; DL360 G3; Intel Xeon
server; HP; DL360 G3; Intel Xeon
server; HP; DL360 G3; Intel Xeon
server; HP; DL360 G3; Intel Xeon
server; HP; DL360 G3; Intel Xeon
server; HP; DL360 G3; Intel Xeon
server; HP; DL360 G3; Intel Xeon
server; HP; DL360 G3; Intel Xeon
server; HP; DL360 G3; Intel Xeon
server; HP; DL360 G3; Intel Xeon
server; HP; DL360 G3; Intel Xeon
server; HP; DL380 G3; Filserver
kantine; Waves; Frityrkoker;
kantine; Waves; Frityrkoker;
kantine; Biltema; Vannkoker; 1L
kantine; Biltema; Vannkoker; 1L
kantine; Biltema; Toastjern; brunt
kantine; Biltema; Toastjern; brunt
event; Logitech; C270; 720p kamera
event; Logitech; C270; 720p kamera
event; Logitech; C270; 720p kamera
event; Logitech; C270; 720p kamera



